GeneID	Adipose - Subcutaneous,Adipose - Visceral (Omentum),Adrenal Gland,Artery - Aorta,Artery - Coronary,Artery - Tibial,Bladder,Brain - Amygdala,Brain - Anterior cingulate cortex (BA24),Brain - Caudate (basal ganglia),Brain - Cerebellar Hemisphere,Brain - Cerebellum,Brain - Cortex,Brain - Frontal Cortex (BA9),Brain - Hippocampus,Brain - Hypothalamus,Brain - Nucleus accumbens (basal ganglia),Brain - Putamen (basal ganglia),Brain - Spinal cord (cervical c-1),Brain - Substantia nigra,Breast - Mammary Tissue,Cells - Cultured fibroblasts,Cells - EBV-transformed lymphocytes,Cervix - Ectocervix,Cervix - Endocervix,Colon - Sigmoid,Colon - Transverse,Esophagus - Gastroesophageal Junction,Esophagus - Mucosa,Esophagus - Muscularis,Fallopian Tube,Heart - Atrial Appendage,Heart - Left Ventricle,Kidney - Cortex,Liver,Lung,Minor Salivary Gland,Muscle - Skeletal,Nerve - Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin - Not Sun Exposed (Suprapubic),Skin - Sun Exposed (Lower leg),Small Intestine - Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
ENSG00000142534	2745.36737,2552.82029,1640.65071,2608.14296,2489.46406,2808.80141,2595.11390,1034.44834,797.48689,874.73118,1313.00675,1251.41319,811.64000,884.58940,909.27396,976.95389,1090.97006,819.43196,1255.28606,1114.86073,3017.51777,3021.61261,4235.76698,4143.76476,4207.22295,2501.01933,1946.69190,2334.36312,1989.42693,2080.14756,3139.73840,930.82164,641.13586,1252.56164,684.79837,2337.74493,1921.27455,1350.29896,2774.28593,5450.00428,1394.86920,2567.02949,2593.17552,3611.75816,3474.30598,1936.87874,2841.23627,1579.55493,1088.68679,2313.05264,3731.64553,3240.27104,756.68630
ENSG00000132591	25.83177,22.80061,33.10948,24.15400,25.72092,23.52989,30.03639,22.41124,26.42721,25.78508,60.36821,58.53389,34.36034,34.04725,23.53174,26.84407,28.41755,22.14148,23.13508,22.65991,26.82434,36.33225,37.48646,31.45927,30.33213,27.67713,24.82020,26.69855,27.68591,27.59663,30.73322,16.07742,19.16962,21.23343,19.63879,26.49290,23.49860,25.49906,33.40510,33.31804,11.38710,30.25994,33.01869,29.38222,31.59032,24.76494,29.21579,20.93453,32.69964,31.94522,37.00791,28.49891,4.73543
ENSG00000124228	28.38590,27.17405,17.54230,28.80990,26.01140,31.61055,33.71860,10.57140,12.76985,13.13780,49.70495,44.30180,17.50280,17.24260,11.61820,15.92605,14.74215,10.78050,15.36140,12.53310,30.62190,33.60735,43.58430,38.53225,41.88270,27.88395,25.04080,27.74340,25.00265,26.01890,37.15840,12.72000,8.09281,16.57150,9.29674,29.44810,24.43890,14.79255,38.75945,46.00685,12.80815,27.96165,32.90335,31.14910,32.33240,27.69280,33.28075,18.06690,44.11915,36.53230,41.21440,32.70160,7.15041
ENSG00000124795	58.58510,42.59586,28.88447,52.18396,53.03177,73.17847,61.97265,16.21600,14.81842,13.61114,73.99599,54.28565,13.75679,17.29255,15.57353,16.77841,12.96712,10.54631,25.57539,17.88467,55.70450,93.77589,121.06449,66.30887,68.03530,63.83916,39.21155,55.31821,41.11788,51.58682,50.84405,24.85392,12.64733,18.28412,14.23796,57.59882,43.56832,35.39655,58.80520,50.09083,13.09804,28.12219,46.20024,40.68774,39.02383,49.19669,33.54891,24.95031,18.87834,83.61234,75.20108,58.64259,6.58735
ENSG00000100902	126.01936,104.43105,119.49475,91.60439,101.21054,108.16578,93.31425,49.57905,61.22576,51.08939,82.01682,75.97170,74.33402,83.41169,54.38335,71.05291,59.92445,45.89564,63.77919,59.29415,113.12279,141.14927,252.77712,102.40035,86.62074,97.28653,95.18770,100.96221,104.05550,105.25251,100.79736,73.02175,71.14383,64.69237,59.40668,152.57034,86.97997,159.19884,103.65875,80.96461,38.38698,94.79217,84.85578,103.79026,109.17500,103.17662,114.91284,62.45428,360.71891,90.22833,90.67150,91.63812,25.16822
ENSG00000169871	8.30582,6.49937,7.01335,10.15976,8.50658,8.80962,10.90210,2.25925,1.55916,2.08613,1.49973,1.81354,1.43372,1.66823,2.64817,2.05003,1.85487,1.82908,3.77937,3.08776,7.74081,17.19898,19.90043,9.88091,13.08684,6.31589,6.37060,7.25603,7.35081,7.15076,10.48334,3.08622,2.22626,3.15749,2.52170,11.44487,7.23943,2.47777,8.95444,11.31527,2.66225,4.65716,7.43666,4.68981,4.84660,8.08839,5.45580,4.81651,2.45447,9.50077,11.46743,8.44899,1.60617
ENSG00000206557	0.03059,0.04462,0.02071,0.02278,0.02238,0.01586,0.03251,0.22739,0.25934,0.38533,0.10837,0.10608,0.20682,0.25053,0.17053,0.26972,0.64332,0.27423,0.04346,0.08453,0.03655,0.01693,0.34204,0.04084,0.04688,0.02209,0.02211,0.03925,0.02271,0.03251,0.07630,0.01880,0.01207,0.24656,0.01277,0.51275,0.02324,0.01362,0.12113,0.04465,0.01294,0.27036,0.04236,0.03511,0.02764,0.02634,0.03999,0.03008,5.25509,0.04206,0.03307,0.04576,0.01582
ENSG00000151461	14.36225,10.62695,6.09524,13.42450,12.54626,18.82648,17.99708,6.79195,7.43430,7.79717,21.21536,15.03902,8.07736,10.45009,7.17470,7.59654,8.09678,7.36722,7.68896,7.45813,13.05806,15.11116,20.56948,13.13420,16.05896,17.00936,10.67225,14.03400,9.78025,15.16029,14.95390,5.53398,4.29692,5.84665,4.88334,11.06470,9.64496,10.52829,17.32295,15.53279,4.61292,10.20201,12.48311,11.98050,13.28032,11.16511,11.73173,6.61183,20.44903,14.83785,17.25132,13.74712,2.93929
ENSG00000145982	10.48343,9.80275,11.92720,10.68402,10.96277,12.00197,12.67097,4.68912,5.29294,6.87787,7.71342,7.40446,7.23161,7.60077,4.06511,5.25703,7.02933,5.02192,4.84758,4.62719,12.20673,13.20825,10.55365,12.34185,12.48558,10.15334,9.21381,9.83729,8.88368,10.08217,11.44422,7.87758,8.27995,7.82025,5.09549,12.31406,9.06235,7.84247,13.62228,9.82102,4.18914,14.93586,10.19434,11.40342,11.87549,7.84961,10.80162,7.45023,19.54173,19.21526,12.89624,11.63848,1.88003
ENSG00000137760	3.93910,2.47795,2.14259,3.92407,3.58219,4.27421,3.98549,1.61031,1.84080,2.03188,3.94851,2.98432,1.81896,2.41392,1.49400,1.98444,2.49275,1.72039,2.02555,1.79226,3.51695,5.44145,4.40946,3.94883,4.18746,3.25836,2.10714,2.78133,2.41726,2.75630,3.68974,1.87702,1.24461,1.46248,1.24374,2.63337,2.75858,2.72464,4.51312,3.44654,1.06864,2.23492,3.07952,2.97764,3.24485,2.66207,2.87449,1.63306,3.22833,3.89295,4.51959,3.50612,0.19882
