ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1	ENSG00000134571.10_2	MYBPC3	chr11	-	47368976	47369030	47368177	47368198	47369201	47369231
2	ENSG00000134571.10_2	MYBPC3	chr11	-	47369201	47369231	47368976	47369030	47369407	47369456
3	ENSG00000134571.10_2	MYBPC3	chr11	-	47369407	47369456	47369201	47369231	47369974	47370092
4	ENSG00000020922.12_3	MRE11	chr11	-	94219089	94219250	94211926	94212042	94223998	94224131
5	ENSG00000020922.12_3	MRE11	chr11	-	94219089	94219250	94212839	94212927	94223998	94224131
6	ENSG00000020922.12_3	MRE11	chr11	-	94219089	94219250	94212860	94212927	94223998	94224131
7	ENSG00000020922.12_3	MRE11	chr11	-	94219089	94219250	94212908	94212927	94223998	94224131
8	ENSG00000020922.12_3	MRE11	chr11	-	94219089	94219250	94216935	94217005	94223998	94224131
9	ENSG00000123191.14_3	ATP7B	chr13	-	52535972	52536049	52531651	52534458	52539007	52539169
10	ENSG00000123191.14_3	ATP7B	chr13	-	52535972	52536049	52534283	52534458	52539007	52539169
11	ENSG00000080815.18_3	PSEN1	chr14	+	73637504	73637755	73614650	73614814	73640273	73640402
12	ENSG00000080815.18_3	PSEN1	chr14	+	73637504	73637755	73614674	73614802	73640273	73640352
13	ENSG00000080815.18_3	PSEN1	chr14	+	73637504	73637755	73614674	73614802	73640273	73640388
14	ENSG00000080815.18_3	PSEN1	chr14	+	73637504	73637755	73614674	73614802	73640273	73640415
15	ENSG00000080815.18_3	PSEN1	chr14	+	73637504	73637755	73614674	73614814	73640273	73640415
16	ENSG00000080815.18_3	PSEN1	chr14	+	73637504	73637755	73614674	73614814	73640273	73640912
17	ENSG00000080815.18_3	PSEN1	chr14	+	73637504	73637755	73614727	73614802	73640273	73640415
18	ENSG00000080815.18_3	PSEN1	chr14	+	73637504	73637755	73614727	73614814	73640273	73640415
19	ENSG00000080815.18_3	PSEN1	chr14	+	73637504	73637755	73626716	73626846	73640273	73640415
20	ENSG00000080815.18_3	PSEN1	chr14	+	73637504	73637755	73634536	73636169	73640273	73640415
21	ENSG00000103197.16_3	TSC2	chr16	+	2098587	2098754	2097465	2098066	2100400	2100487
22	ENSG00000103197.16_3	TSC2	chr16	+	2098587	2098754	2097989	2098066	2100400	2100487
23	ENSG00000103197.16_3	TSC2	chr16	+	2098587	2098754	2097990	2098066	2100400	2100487
24	ENSG00000103197.16_3	TSC2	chr16	+	2098587	2098754	2098014	2098066	2100400	2100487
25	ENSG00000103197.16_3	TSC2	chr16	+	2098587	2098754	2098020	2098066	2100400	2100487
26	ENSG00000103197.16_3	TSC2	chr16	+	2098587	2098754	2098033	2098066	2100400	2100487
27	ENSG00000103197.16_3	TSC2	chr16	+	2098587	2098754	2098202	2098274	2100400	2100487
28	ENSG00000144061.12_3	NPHP1	chr2	-	110905492	110905603	110904329	110904412	110907758	110907833
29	ENSG00000144285.17_3	SCN1A	chr2	-	166854547	166854685	166852522	166852627	166856232	166856286
30	ENSG00000144285.17_3	SCN1A	chr2	-	166854547	166854685	166852562	166852627	166856232	166856573
31	ENSG00000134982.16_3	APC	chr5	+	112102022	112102107	112043218	112043579	112102885	112103087
32	ENSG00000134982.16_3	APC	chr5	+	112102022	112102107	112090569	112090722	112102885	112103019
33	ENSG00000134982.16_3	APC	chr5	+	112102022	112102107	112090569	112090722	112102885	112103087
34	ENSG00000104218.14_2	CSPP1	chr8	+	68066258	68066371	68049690	68049838	68070681	68070831
35	ENSG00000104218.14_2	CSPP1	chr8	+	68066258	68066371	68062017	68062170	68070681	68070831
36	ENSG00000198689.10_3	SLC9A6	chrX	+	135112290	135112321	135106488	135106642	135115572	135115652
37	ENSG00000198689.10_3	SLC9A6	chrX	+	135112290	135112321	135106614	135106642	135122202	135122243
38	ENSG00000198689.10_3	SLC9A6	chrX	+	135112290	135112321	135111044	135111134	135115572	135115652
39	ENSG00000198689.10_3	SLC9A6	chrX	+	135112290	135112321	135111601	135112052	135115572	135115652
