ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
chr20|-|49557401|49557492|49557401|49557470|49557641|49557746	"ENSG00000000419.12_2"	"DPM1"	chr20	-	49557401	49557492	49557401	49557470	49557641	49557746
chr20|-|49557401|49557492|49557401|49557470|49557665|49557746	"ENSG00000000419.12_2"	"DPM1"	chr20	-	49557401	49557492	49557401	49557470	49557665	49557746
chr20|-|49557401|49557492|49557401|49557470|49558567|49558663	"ENSG00000000419.12_2"	"DPM1"	chr20	-	49557401	49557492	49557401	49557470	49558567	49558663
chr20|-|49557401|49557492|49557401|49557470|49562273|49562299	"ENSG00000000419.12_2"	"DPM1"	chr20	-	49557401	49557492	49557401	49557470	49562273	49562299
chr1|-|169838068|169838269|169838068|169838180|169839395|169839498	"ENSG00000000457.13_2"	"SCYL3"	chr1	-	169838068	169838269	169838068	169838180	169839395	169839498
chr1|-|169838068|169838269|169838068|169838180|169842836|169842893	"ENSG00000000457.13_2"	"SCYL3"	chr1	-	169838068	169838269	169838068	169838180	169842836	169842893
chr1|-|169838068|169838269|169838068|169838180|169845118|169845232	"ENSG00000000457.13_2"	"SCYL3"	chr1	-	169838068	169838269	169838068	169838180	169845118	169845232
chr1|+|169773215|169773381|169773252|169773381|169772309|169772450	"ENSG00000000460.16_3"	"C1orf112"	chr1	+	169773215	169773381	169773252	169773381	169772309	169772450
chr1|+|196709748|196711181|196711004|196711181|196654193|196654367	"ENSG00000000971.15_2"	"CFH"	chr1	+	196709748	196711181	196711004	196711181	196654193	196654367
chr1|+|196709748|196711181|196711004|196711181|196659192|196659369	"ENSG00000000971.15_2"	"CFH"	chr1	+	196709748	196711181	196711004	196711181	196659192	196659369
chr1|+|196709748|196711181|196711004|196711181|196684722|196684899	"ENSG00000000971.15_2"	"CFH"	chr1	+	196709748	196711181	196711004	196711181	196684722	196684899
chr1|+|196709748|196711181|196711004|196711181|196694250|196694427	"ENSG00000000971.15_2"	"CFH"	chr1	+	196709748	196711181	196711004	196711181	196694250	196694427
chr1|+|196709748|196711181|196711004|196711181|196697475|196697652	"ENSG00000000971.15_2"	"CFH"	chr1	+	196709748	196711181	196711004	196711181	196697475	196697652
chr1|+|196709748|196711181|196711004|196711181|196705953|196706136	"ENSG00000000971.15_2"	"CFH"	chr1	+	196709748	196711181	196711004	196711181	196705953	196706136
chr1|+|196709748|196711181|196711004|196711181|196706604|196706790	"ENSG00000000971.15_2"	"CFH"	chr1	+	196709748	196711181	196711004	196711181	196706604	196706790
chr6|-|53379236|53379330|53379236|53379295|53380906|53381020	"ENSG00000001084.10_3"	"GCLC"	chr6	-	53379236	53379330	53379236	53379295	53380906	53381020
chr6|-|53379236|53379330|53379236|53379295|53385575|53385758	"ENSG00000001084.10_3"	"GCLC"	chr6	-	53379236	53379330	53379236	53379295	53385575	53385758
chr6|-|53380906|53381020|53380906|53381015|53385575|53385758	"ENSG00000001084.10_3"	"GCLC"	chr6	-	53380906	53381020	53380906	53381015	53385575	53385758
chr6|-|53380906|53381020|53380906|53381015|53409293|53409927	"ENSG00000001084.10_3"	"GCLC"	chr6	-	53380906	53381020	53380906	53381015	53409293	53409927
chr3|+|50197007|50197167|50197015|50197167|50192561|50192997	"ENSG00000001617.11_2"	"SEMA3F"	chr3	+	50197007	50197167	50197015	50197167	50192561	50192997
chr3|+|50197007|50197167|50197015|50197167|50192843|50193276	"ENSG00000001617.11_2"	"SEMA3F"	chr3	+	50197007	50197167	50197015	50197167	50192843	50193276
chr3|+|50197007|50197167|50197124|50197167|50192523|50192580	"ENSG00000001617.11_2"	"SEMA3F"	chr3	+	50197007	50197167	50197124	50197167	50192523	50192580
chr3|+|50197007|50197167|50197124|50197167|50192561|50192997	"ENSG00000001617.11_2"	"SEMA3F"	chr3	+	50197007	50197167	50197124	50197167	50192561	50192997
chr3|+|50197007|50197167|50197124|50197167|50192843|50193276	"ENSG00000001617.11_2"	"SEMA3F"	chr3	+	50197007	50197167	50197124	50197167	50192843	50193276
chr3|+|50197007|50197167|50197124|50197167|50196451|50196721	"ENSG00000001617.11_2"	"SEMA3F"	chr3	+	50197007	50197167	50197124	50197167	50196451	50196721
chr3|+|50197015|50197167|50197124|50197167|50192561|50192997	"ENSG00000001617.11_2"	"SEMA3F"	chr3	+	50197015	50197167	50197124	50197167	50192561	50192997
chr3|+|50197015|50197167|50197124|50197167|50192843|50193276	"ENSG00000001617.11_2"	"SEMA3F"	chr3	+	50197015	50197167	50197124	50197167	50192843	50193276
chr3|+|50211645|50211783|50211663|50211783|50211484|50211547	"ENSG00000001617.11_2"	"SEMA3F"	chr3	+	50211645	50211783	50211663	50211783	50211484	50211547
chr7|+|117292895|117292985|117292896|117292985|117282491|117282647	"ENSG00000001626.14_3"	"CFTR"	chr7	+	117292895	117292985	117292896	117292985	117282491	117282647
